School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
South Auckland Seventh Day Adventist School #4140,Crowe New Zealand Audit Partnership,Paul Walker,Primary - State : Integrated,Auckland Region,Auckland - Otara-Papatoetoe,School Finance Hub,"-36.983553, 174.873967"
Flaxmere College #134,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State,Hawke's Bay Region,Hastings District,The School Office,"-39.623997, 176.788805"
Havelock North High School #223,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State,Hawke's Bay Region,Hastings District,In-House provision,"-39.666613, 176.894776"
Woodford House #225,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State : Integrated,Hawke's Bay Region,Hastings District,In-House provision,"-39.684214, 176.880403"
Karamu High School #229,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State,Hawke's Bay Region,Hastings District,Epplett and Co Chartered Accountants,"-39.646515, 176.866437"
Lindisfarne College #230,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State : Integrated,Hawke's Bay Region,Hastings District,In-House provision,"-39.625798, 176.836815"
Central Hawke's Bay College #233,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State,Hawke's Bay Region,Central Hawke's Bay District,Education Services,"-40.00178, 176.56094"
Hastings Christian School #443,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Composite - State : Integrated,Hawke's Bay Region,Hastings District,Eclypse,"-39.658526, 176.845189"
Maraekakaho School #566,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.648542, 176.6179"
Te Aratika Academy #873,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Secondary - State - Kura/character,Hawke's Bay Region,Hastings District,Eclypse,"-39.617538, 176.892938"
Arthur Miller School #2543,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.541379, 176.858077"
Ebbett Park School #2554,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.644029, 176.826298"
Eskdale School #2557,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.402535, 176.85281"
Frimley School #2563,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.627661, 176.833354"
Hastings Central School #2569,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.645649, 176.841387"
Hastings Intermediate #2570,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Intermediate/Restricted Composite - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.649551, 176.838712"
Haumoana School #2571,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.625241, 176.951175"
Havelock North Intermediate #2572,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Intermediate/Restricted Composite - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.664526, 176.892154"
Havelock North Primary School #2573,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.671266, 176.879959"
Lucknow School #2590,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.674036, 176.871074"
Mahora School #2592,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.625898, 176.84784"
Mayfair School #2612,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.637819, 176.860587"
Napier Central School #2618,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Napier City,Eclypse,"-39.488524, 176.908497"
Napier Intermediate #2619,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Intermediate/Restricted Composite - State,Hawke's Bay Region,Napier City,Education Services,"-39.495095, 176.906925"
Parkvale School #2641,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.652152, 176.860432"
Peterhead School #2644,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.629812, 176.791461"
Raureka School #2662,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.638484, 176.824243"
Reignier Catholic School (Taradale) #2663,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State : Integrated,Hawke's Bay Region,Napier City,Education Services,"-39.531565, 176.860113"
Saint Mary's School (Hastings) #2681,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State : Integrated,Hawke's Bay Region,Hastings District,Eclypse,"-39.623917, 176.847238"
Te Mata School (Havelock North) #2697,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.664097, 176.891791"
Twyford School #2711,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.601147, 176.796906"
Tu Kura o Kimi Ora #2746,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Primary - State,Hawke's Bay Region,Hastings District,Eclypse,"-39.61362, 176.773163"
Te Kura Kaupapa Maori O Te Ara Hou #3107,Baker Tilly Staples Rodway Audit Limited,Philip Pinckney,Composite - State - Kura/character,Hawke's Bay Region,Napier City,Education Services,"-39.509898, 176.891879"
Logan Park High School #376,Crowe New Zealand Audit Partnership,Philip Sinclair,Secondary - State,Otago Region,Dunedin City,Solutions and Services,"-45.861858, 170.528807"
Kaikorai Valley College #381,Crowe New Zealand Audit Partnership,Philip Sinclair,Secondary - State,Otago Region,Dunedin City,Solutions and Services,"-45.881778, 170.467245"
Taieri College #495,Crowe New Zealand Audit Partnership,Philip Sinclair,Secondary - State,Otago Region,Dunedin City,Solutions and Services,"-45.875915, 170.351398"
Nelson Christian Academy #1148,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State : Integrated,Nelson Region,Nelson City,Accounting For Schools,"-41.31628, 173.244053"
Saint Paul's School (Richmond) #1627,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State : Integrated,Tasman Region,Tasman District,Solutions and Services,"-41.337953, 173.194838"
Silverstream (South) Primary School #1657,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.874688, 170.359816"
Appleby School #3180,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Tasman Region,Tasman District,Accounting For Schools,"-41.306922, 173.119986"
Auckland Point School #3181,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Nelson Region,Nelson City,Accounting For Schools,"-41.268292, 173.277868"
Clifton Terrace School #3187,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Nelson Region,Nelson City,Accounting For Schools,"-41.224653, 173.322845"
Hira School #3195,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Nelson Region,Nelson City,Accounting For Schools,"-41.216183, 173.394417"
Maitai School #3202,Crowe New Zealand Audit Partnership,Philip Sinclair,Special School - State,Nelson Region,Nelson City,Solutions and Services,"-41.273325, 173.291893"
Nelson Intermediate #3210,Crowe New Zealand Audit Partnership,Philip Sinclair,Intermediate/Restricted Composite - State,Nelson Region,Nelson City,Solutions and Services,"-41.28928, 173.267367"
Ranzau School #3214,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Tasman Region,Tasman District,Accounting For Schools,"-41.348834, 173.148589"
Broad Bay School #3718,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Moore Markhams Otago,"-45.847673, 170.624151"
Fairfield School (Dunedin) #3736,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.900545, 170.391366"
Kaikorai School #3753,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.865445, 170.491007"
Lee Stream School #3761,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Accounting For Schools,"-45.781768, 170.097552"
Musselburgh School #3779,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,The School Office,"-45.903489, 170.514738"
Opoho School #3790,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.853619, 170.533006"
Port Chalmers School #3803,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.821029, 170.617507"
Portobello School #3805,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,The School Office,"-45.838224, 170.6572"
Ravensbourne School #3808,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.864944, 170.555576"
Saint Leonard's School (Dunedin) #3829,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.846739, 170.578318"
Strath Taieri School #3837,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.504741, 170.119398"
Tahuna Normal Intermediate #3839,Crowe New Zealand Audit Partnership,Philip Sinclair,Intermediate/Restricted Composite - State,Otago Region,Dunedin City,Moore Markhams Otago,"-45.903952, 170.517529"
Warrington School #3862,Crowe New Zealand Audit Partnership,Philip Sinclair,Primary - State,Otago Region,Dunedin City,The School Office,"-45.709508, 170.595678"
Garin College #6975,Crowe New Zealand Audit Partnership,Philip Sinclair,Secondary - State : Integrated,Nelson Region,Nelson City,Solutions and Services,"-41.335408, 173.204819"
Bethlehem College #77,William Buck Audit (NZ) Limited,Richard Dey,Composite - State : Integrated,Bay of Plenty Region,Tauranga City,In-House provision,"-37.704974, 176.11123"
Mount Maunganui College #118,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Tauranga City,The School Office,"-37.662776, 176.207104"
Otumoetai College #120,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Tauranga City,In-House provision,"-37.678754, 176.129106"
Tauranga Girls' College #122,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Tauranga City,In-House provision,"-37.712366, 176.144959"
Te Puke High School #123,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Western Bay of Plenty District,Accounting For Schools,"-37.788258, 176.318222"
Trident High School #143,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Whakatane District,The School Office,"-37.973481, 176.975956"
Whakatane High School #144,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Whakatane District,The School Office,"-37.962394, 176.985794"
Edgecumbe College #145,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Whakatane District,Education Services,"-37.967933, 176.827537"
Opotiki College #148,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Opotiki District,Eclypse,"-38.013132, 177.288103"
Rotorua Boys' High School #152,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Rotorua District,In-House provision,"-38.13727, 176.237477"
Rotorua Girls' High School #153,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Rotorua District,Education Services,"-38.147857, 176.238386"
Rotorua Lakes High School #154,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Rotorua District,The School Office,"-38.136755, 176.30233"
Reporoa College #164,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Waikato Region,Rotorua District,Education Services,"-38.437349, 176.344112"
Te Wharekura o Ruatoki #221,William Buck Audit (NZ) Limited,Richard Dey,Composite - State - Kura/character,Bay of Plenty Region,Whakatane District,Education Services,"-38.148073, 177.007448"
Aquinas College #482,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State : Integrated,Bay of Plenty Region,Tauranga City,In-House provision,"-37.750885, 176.121982"
John Paul College #532,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State : Integrated,Bay of Plenty Region,Rotorua District,The School Office,"-38.143035, 176.229637"
Tarawera High School #661,William Buck Audit (NZ) Limited,Richard Dey,Secondary - State,Bay of Plenty Region,Kawerau District,Education Services,"-38.087207, 176.709393"
Te Wharekura o Ngāti Rongomai #878,William Buck Audit (NZ) Limited,Richard Dey,Composite - State - Kura/character,Bay of Plenty Region,Rotorua District,Education Services,"-38.121026, 176.306038"
Paeroa Christian School #1169,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Waikato Region,Hauraki District,Education Services,"-37.366647, 175.664909"
Tauranga Waldorf School #1187,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Bay of Plenty Region,Tauranga City,Davidson Dickson,"-37.728787, 176.205671"
Saint Thomas More Catholic School #1636,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Bay of Plenty Region,Tauranga City,Education Finance,"-37.677013, 176.226299"
Edgecumbe School #1711,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Whakatane District,Education Services,"-37.969395, 176.827669"
Katikati Primary School #1765,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Western Bay of Plenty District,Katikati Chartered Accountants Limited,"-37.551749, 175.922079"
Kerepehi School #1775,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Waikato Region,Hauraki District,Education Finance,"-37.297058, 175.540884"
Te Kura o te Moutere o Matakana #1811,William Buck Audit (NZ) Limited,Richard Dey,Composite - State - Kura/character,Bay of Plenty Region,Western Bay of Plenty District,Education Services,"-37.609834, 176.083102"
Matata School #1818,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Whakatane District,Education Services,"-37.893318, 176.759104"
Mihi School #1826,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Waikato Region,Rotorua District,Education Services,"-38.470969, 176.296934"
Morrinsville School #1834,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Waikato Region,Matamata-Piako District,In-House provision,"-37.654062, 175.528028"
Rotokawa School #1931,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Rotorua District,Unknown Service Provider,"-38.108119, 176.319986"
Saint Joseph's Catholic School (Paeroa) #1951,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Waikato Region,Hauraki District,Account Ed,"-37.386368, 175.679643"
Saint Joseph's Catholic School (Waihi) #1954,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Waikato Region,Hauraki District,Account Ed,"-37.392955, 175.845002"
Saint Mary's Catholic School (Tauranga) #1959,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Bay of Plenty Region,Tauranga City,Solutions and Services,"-37.706388, 176.166143"
Tatuanui School #1983,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Waikato Region,Matamata-Piako District,Eclypse,"-37.621803, 175.597466"
Te Mahoe School #2009,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Whakatane District,Education Services,"-38.108728, 176.816074"
Te Kura Kaupapa Maori O Te Matai #2011,William Buck Audit (NZ) Limited,Richard Dey,Primary - State - Kura/character,Bay of Plenty Region,Western Bay of Plenty District,Education Services,"-37.791991, 176.359637"
Te Puke Primary School #2016,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Western Bay of Plenty District,BDO Tauranga,"-37.786187, 176.316765"
Te Kura O Te Teko #2023,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Bay of Plenty Region,Whakatane District,Education Services,"-38.0342, 176.797505"
Waimata School #2058,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Waikato Region,Hauraki District,Account Ed,"-37.426822, 175.869656"
Walton School #2074,William Buck Audit (NZ) Limited,Richard Dey,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.732947, 175.697237"
Tauranga Adventist School #4144,William Buck Audit (NZ) Limited,Richard Dey,Primary - State : Integrated,Bay of Plenty Region,Tauranga City,Education Services,"-37.712633, 176.113183"
Hauraki Plains College #112,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Hauraki District,The School Office,"-37.276618, 175.498679"
Paeroa College #113,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Hauraki District,Manning Warner Browne Ltd,"-37.385437, 175.669282"
Te Aroha College #116,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.541904, 175.693304"
Matamata College #124,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.816276, 175.770385"
Ngaruawahia High School #127,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Waikato District,Education Services,"-37.66004, 175.158665"
Te Kuiti High School #160,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Waitomo District,The School Office,"-38.332231, 175.154846"
Benneydale Area School #161,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waitomo District,Education Services,"-38.521675, 175.369183"
Piopio College #162,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Waikato Region,Waitomo District,Education Services,"-38.472653, 175.014155"
Taumarunui High School #169,Owen McLeod and Co. Limited,Richard Owen,Secondary - State,Manawatu-Wanganui Region,Ruapehu District,Education Services,"-38.863298, 175.248127"
Nga Taiatea Wharekura #488,Owen McLeod and Co. Limited,Richard Owen,Secondary - State - Kura/character,Waikato Region,Hamilton City,Education Services,"-37.768016, 175.231112"
Te Kura Toitu O Te Whaiti-nui-a-toi #545,Owen McLeod and Co. Limited,Richard Owen,Composite - State - Kura/character,Bay of Plenty Region,Whakatane District,Education Services,"-38.589193, 176.776491"
Te Kura Kaupapa O Te Puaha O Waikato #1151,Owen McLeod and Co. Limited,Richard Owen,Primary - State - Kura/character,Waikato Region,Waikato District,Education Services,"-37.392886, 174.724639"
Bankwood School #1693,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Hamilton City,Solutions and Services,"-37.754911, 175.2761"
Berkley Normal Middle School #1695,Owen McLeod and Co. Limited,Richard Owen,Intermediate/Restricted Composite - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.802516, 175.327495"
Te Kura Kaupapa Maori O Bernard Fergusson #1696,Owen McLeod and Co. Limited,Richard Owen,Primary - State - Kura/character,Waikato Region,Waikato District,SRN Partners Chartered Accountants Ltd,"-37.662082, 175.162062"
Cambridge East School #1700,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waipa District,Schooled - Auckland East,"-37.884048, 175.471247"
Cambridge Middle School #1701,Owen McLeod and Co. Limited,Richard Owen,Intermediate/Restricted Composite - State,Waikato Region,Waipa District,Unknown Service Provider,"-37.887159, 175.462246"
Elstow - Waihou Combined School #1713,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Matamata-Piako District,SRN Partners Chartered Accountants Ltd,"-37.523479, 175.638269"
Fairfield Primary School #1716,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Hamilton City,Accounting For Schools,"-37.764108, 175.284078"
Goldfields School (Paeroa) #1726,Owen McLeod and Co. Limited,Richard Owen,Special School - State,Waikato Region,Hauraki District,Education Services,"-37.370573, 175.674414"
Hukanui School #1749,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.748151, 175.278924"
Huntly West School #1752,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Education Services,"-37.558865, 175.150134"
Kimihia School #1777,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Education Services,"-37.543187, 175.171861"
Motumaoho School #1835,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.685307, 175.471491"
Te Kura o Ngapuke #1847,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Manawatu-Wanganui Region,Ruapehu District,Education Services,"-38.88557, 175.41716"
Ngaruawahia School #1849,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Education Services,"-37.670213, 175.151009"
Ngati Haua School #1851,Owen McLeod and Co. Limited,Richard Owen,Primary - State - Kura/character,Waikato Region,Waikato District,Co-Pilot Accounting Ltd,"-37.798253, 175.478631"
Te Wharekura o Maniapoto #1865,Owen McLeod and Co. Limited,Richard Owen,Composite - State - Kura/character,Waikato Region,Waitomo District,Education Services,"-38.315046, 175.116309"
Peachgrove Intermediate #1892,Owen McLeod and Co. Limited,Richard Owen,Intermediate/Restricted Composite - State,Waikato Region,Hamilton City,Accounting For Schools,"-37.78471, 175.298632"
Te Wharekura o Rakaumangamanga #1917,Owen McLeod and Co. Limited,Richard Owen,Composite - State - Kura/character,Waikato Region,Waikato District,Education Services,"-37.555912, 175.145791"
Rotokauri School #1930,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,SRN Partners Chartered Accountants Ltd,"-37.77005, 175.206318"
Hamilton Junior High School #1942,Owen McLeod and Co. Limited,Richard Owen,Intermediate/Restricted Composite - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.754964, 175.253886"
Saint Columba's Catholic School (Frankton) #1944,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Waikato Region,Hamilton City,Education Services,"-37.786763, 175.250882"
Saint Joseph's Catholic School (Fairfield) #1946,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Waikato Region,Hamilton City,Solutions and Services,"-37.766687, 175.274386"
Saint Patrick's Catholic School (Taumarunui) #1961,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Manawatu-Wanganui Region,Ruapehu District,Education Services,"-38.880474, 175.259539"
Saint Patrick's Catholic School (Te Awamutu) #1962,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Waikato Region,Waipa District,Accounting For Schools,"-38.008559, 175.319307"
Saint Peter's Catholic School (Cambridge) #1965,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Waikato Region,Waipa District,SRN Partners Chartered Accountants Ltd,"-37.892754, 175.472146"
Saint Pius X Catholic School (Melville) #1966,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Waikato Region,Hamilton City,Education Services,"-37.81316, 175.288082"
Strathmore School #1968,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,South Waikato District,Education Services,"-38.233595, 175.87129"
Tamahere Model Country School #1976,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Education Services,"-37.8265, 175.354046"
Taupiri School #1987,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Edtech,"-37.613665, 175.187846"
Te Kauwhata Primary School #2005,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,SRN Partners Chartered Accountants Ltd,"-37.404211, 175.145245"
Te Pahu School #2013,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waipa District,Education Services,"-37.923811, 175.138918"
Vardon School #2045,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Hamilton City,Solutions and Services,"-37.763356, 175.256973"
Waerenga School #2046,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,SRN Partners Chartered Accountants Ltd,"-37.371726, 175.266455"
Waingaro School #2060,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Education Services,"-37.675486, 174.96916"
Waipa School #2064,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Waikato District,Accounting For Schools,"-37.676024, 175.149737"
Whitiora School #2091,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.779594, 175.270037"
Marian Catholic School (Hamilton) #2094,Owen McLeod and Co. Limited,Richard Owen,Primary - State : Integrated,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.790843, 175.295006"
Crawshaw School #2096,Owen McLeod and Co. Limited,Richard Owen,Primary - State,Waikato Region,Hamilton City,Education Services,"-37.773944, 175.232276"
Middleton Grange School #335,Nexia New Zealand,Sam Naylor,Composite - State : Integrated,Canterbury Region,Christchurch City,In-House provision,"-43.53625, 172.57652"
Kingslea School #518,Nexia New Zealand,Sam Naylor,Special School - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.522179, 172.655123"
Twizel Area School #527,Nexia New Zealand,Sam Naylor,Composite - State,Canterbury Region,Mackenzie District,Solutions and Services,"-44.255248, 170.098059"
Knights Stream School #579,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Schooled - Christchurch,"-43.570862, 172.537934"
Ashburton Christian School #608,Nexia New Zealand,Sam Naylor,Composite - State : Integrated,Canterbury Region,Ashburton District,Solutions and Services,"-43.911169, 171.77209"
Lyttelton Primary School #686,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.602344, 172.723168"
Haeata Community Campus #704,Nexia New Zealand,Sam Naylor,Composite - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.514761, 172.696693"
Rolleston Christian School #710,Nexia New Zealand,Sam Naylor,Primary - State : Integrated,Canterbury Region,Selwyn District,Geoff Gillam,"-43.608323, 172.392912"
Te Rōhutu Whio #712,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Selwyn District,Schooled - Christchurch,"-43.613179, 172.405501"
Timaru Christian School #1611,Nexia New Zealand,Sam Naylor,Composite - State : Integrated,Canterbury Region,Timaru District,IFigure Mid & South Canterbury,"-44.403579, 171.228316"
Geraldine Primary School #2107,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.096874, 171.238854"
Winchester Rural School #2108,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.189987, 171.278429"
Temuka Primary School #2109,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.246309, 171.286993"
Oceanview Heights School #2110,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.379556, 171.230872"
Grantlea Downs School #2111,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.374383, 171.235534"
Barton Rural School #2112,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.409939, 171.171624"
Bluestone School #2113,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.398364, 171.226384"
Beaconsfield School #2114,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.434245, 171.129705"
Timaru South School #2115,Nexia New Zealand,Sam Naylor,Primary - State,Canterbury Region,Timaru District,Schooled - Christchurch,"-44.408464, 171.249835"
